id,name,kcal,sat_FAT,protein,fat,trans_FAT,sodium,sugars,caffeine,cholesterol,chabo,product_cd
52,자바 칩 프라푸치노,340,9,6,14,0,180,42,100,40,52,168016
53,카라멜 프라푸치노,300,7,4,11,0,190,39,85,40,46,168010
54,화이트 초콜릿 모카 프라푸치노,245,6,4,8,0,140,38,85,10,39,168013
55,바닐라 크림 프라푸치노,200,6,4,8,0,150,28,0,10,28,168054
56,제주 까망 크림 프라푸치노,600,7,9,18,0,330,79,0,15,100,9200000002088
57,제주 쑥떡 크림 프라푸치노,460,10,8,15,0,250,57,0,15,73,9200000002090
58,제주 유기농 말차로 만든 크림 프라푸치노,230,7,5,10,0,150,28,60,15,30,9200000002502
59,초콜릿 크림 칩 프라푸치노,300,7,6,12,0,160,40,10,15,44,168066
60,화이트 타이거 프라푸치노,410,14,5,17,0,220,57,0,15,58,9200000002403
61,망고 패션 프루트 블렌디드,120,0,1,0.4,0,70,25,35,0,38,167004
62,딸기 딜라이트 요거트 블렌디드,370,4.3,9,8,0,110,57,0,20,63,9200000003276
63,망고 바나나 블렌디드,270,1,4,2.5,0,110,48,0,5,62,169001
64,민트 초콜릿 칩 블렌디드,455,14,9,20,0,190,52,0,20,60,9200000003443
