id,name,kcal,fat,sat_FAT,trans_FAT,cholesterol,sodium,sugars,chabo,protein,pro_id
160,쉬림프 코코넛 샐러드 밀 박스,147,7,5,0,60,330,5,10,11,9300000002304
161,현미 크림 수프,164,12,7,0.3,23,350,5,10,4,9900000000084
162,트러플 머쉬룸 수프,168,12,9,0.1,8,419,3,12,3,9900000000680
163,우리나라 옥고감,260,0,0,0,0,0,0,56,7,5110009042
164,헤이즐넛 브라우니,340,18,4,0.5,0,35,26,41,4,9300000003470
165,플랜트 햄&루꼴라 샌드위치,321,9,1.3,0.1,0,981,8,50,10,9300000003526
166,플랜트 함박&파스타 밀 박스,380,15,4.4,0,55,620,5,46,16,9300000003528
167,담백한 플레인 베이글,250,1,0.4,0,0,609,6,51,9,9300000003067
168,밤콩달콩 두유 브레드,411,5,0.9,0,0,485,27,80,11,9300000003522
169,베어리스타 오가닉 젤리,210,0.2,0,0,0,182,35,52,0,9300000002410
170,(제주)제주 녹차 생크림 롤,547,31,15,0.6,345,200,57,58,9,9300000003468
171,(제주)제주 땅콩 생크림 롤,570,36,15,0.6,340,200,51,54,8,9300000003469
172,오름 치즈 케이츄리,550,40,20,0.6,160,513,33,40,8,9300000003520
173,앙녹차 베이글,510,14,10,0.5,45,740,30,84,12,9300000003471
174,거문 오름 크루아상,391,27,14,0,113,367,16,30,7,9300000001361
175,돌코롬 쫍지롱 와플 샌드,805,52,13,0.6,185,480,35,69,15,9300000003525
176,새코롬 돌코롬 한라봉 케이크,380,20,9,0.5,180,105,43,44,6,9300000002857
177,백년초콜릿 크런치 케이크,855,65,32,1.1,175,280,60,61,6,9300000002856
178,당근 현무암 케이크,304,20,13,0.5,144,309,32,27,4,9300000001055
179,제주 녹차 베이컨 치즈 베이글,470,29,16,0.5,74,990,8,59,22,9300000001387
180,제주 흑돼지 아보카도 샌드위치,360,24,19,0.5,35,960,6,23,13,9300000002490
181,올래 미니 크루아상,315,23,14,0.5,25,230,18,24,3,9300000002848
182,주상절리 파이,447,34,21,0.5,18,480,23,40,7,9300000002489
183,현무암 러스크,185,10,9,0,3,160,12,18,3,9300000001199
184,제주 오름 초콜릿 세트,570,32,21,0,16,37,57,63,7,9300000001257
185,제주 자연 청 세트,1245,0,0,0,0,30,124,309,3,9300000001672
